IndicatorCode,IndicatorName,Language
HWF_0008,Nursing personnel (number),EN
HWF_0009,Midwifery personnel (number),EN
HWF_0010,"Dentists (per 10,000)",EN
HWF_0011,Dentists (number),EN
HWF_0012,Dental Assistants and Therapists (number),EN
HWF_0013,Dental Prosthetic Technicians (number),EN
HWF_0014,"Pharmacists  (per 10,000)",EN
HWF_0015,Pharmacists  (number),EN
HWF_0016,Pharmaceutical Technicians and Assistants  (number),EN
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),EN
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),EN
HWF_0019,Medical and Pathology Laboratory scientists  (number),EN
HWF_0020,Medical and Pathology Laboratory Technicians  (number),EN
HWF_0021,Physiotherapists (number),EN
HWF_0022,Physiotherapy Technicians and Assistants  (number),EN
HWF_0023,Traditional and Complementary Medicine Professionals  (number),EN
HWF_0024,Community Health Workers (number),EN
HWWS_1,Handwashing with soap after using the toilet (%),EN
HWWS_2,Handwashing with soap after cleaning child's stool (%),EN
IHR01,Legislation,EN
IHR02,Coordination,EN
IHR03,Surveillance,EN
IHR04,Response,EN
IHR05,Preparedness,EN
IHR06,Risk communication,EN
IHR07,Human resources,EN
IHR08,Laboratory,EN
IHR09,Points of entry,EN
IHR10,Zoonosis,EN
IHR11,Food safety,EN
IHR12,Chemical,EN
IHR13,Radionuclear,EN
imr,Infant mortality rate (deaths per 1000 live births),EN
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,EN
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,EN
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,EN
IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,EN
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,EN
IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported,EN
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,EN
IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,EN
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,EN
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),EN
itnwm,Pregnant women sleeping under insecticide-treated nets (%),EN
ITU_ICT_1,Percentage of individuals using the Internet,EN
ITU_ICT_2,Mobile-cellular telephone subscriptions per 100 inhabitants,EN
ITU_IDI,ICT Development Index (IDI),EN
ITU_IDI_RANK,ICT Development Index (IDI) rank,EN
LEAD_1,Percentage of the children under 15 years with blood lead levels above 5ug/dl,EN
LEAD_10,Lead attributable DALYs per 100'000 children under 5 years,EN
LEAD_2,Percentage of the children under 15 years with blood lead levels above 10ug/dl,EN
LEAD_3,Percentage of the adults (15+ years) with blood lead levels above 5ug/dl,EN
LEAD_4,Percentage of the adults (15+ years) with blood lead levels above 10ug/dl,EN
LEAD_5,Lead attributable deaths,EN
LEAD_6,Lead attributable DALYs ('000),EN
LEAD_7,Lead attributable deaths per 100'000 capita,EN
LEAD_8,Lead attributable DALYs per 100'000 capita,EN
LEAD_9,Lead attributable DALYs ('000) in children under 5 years,EN
LEADCONTROL,Legally-binding controls on lead paint,EN
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,EN
LIFE_0000000030,nqx - probability of dying between ages x and x+n,EN
LIFE_0000000031,lx - number of people left alive at age x,EN
LIFE_0000000032,ndx - number of people dying between ages x and x+n,EN
LIFE_0000000033,nLx - person-years lived between ages x and x+n,EN
LIFE_0000000034,Tx - person-years lived above age x,EN
LIFE_0000000035,ex - expectation of life at age x,EN
M_def_1_prev_adult,Adult indicator 1 rate,EN
M_def_1_prev_youth,Youth indicator 1 rate,EN
M_def_1_text_adult,Adult indicator 1 definition,EN
M_def_1_text_youth,Youth indicator 1 definition,EN
M_def_2_prev_adult,Adult indicator 2 rate,EN
M_def_2_prev_youth,Youth indicator 2 rate,EN
M_def_2_text_adult,Adult indicator 2 definition,EN
M_def_2_text_youth,Youth indicator 2 definition,EN
M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),EN
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),EN
M_Group,Monitoring tobacco use and prevention policies,EN
M_smkless_age_range_adult,Adult survey age range - smokeless,EN
M_smkless_age_range_youth,Youth survey age range - smokeless,EN
M_smkless_def_text_adult,Adult smokeless tobacco use indicator definition,EN
M_smkless_def_text_youth,Youth smokeless tobacco use indicator definition,EN
M_smkless_prev_adult,Adult smokeless tobacco use indicator rate,EN
M_smkless_prev_youth,Youth smokeless tobacco use indicator rate,EN
M_smkless_survey_title_adult,Name of survey of adults - smokeless,EN
M_smkless_survey_title_youth,Name of survey of youth - smokeless,EN
M_smkless_svy_national_adult,Representativeness of survey of adults - smokeless,EN
M_smkless_svy_national_youth,Representativeness of survey of youth - smokeless,EN
M_survey_title_adult,Name of survey of adults,EN
M_survey_title_youth,Name of survey of youth,EN
M_svy_age_adult,Adult survey age range,EN
M_svy_age_youth,Youth survey age range,EN
M_svy_national_adult,Representativeness of survey of adults,EN
M_svy_national_youth,Representativeness of youth survey,EN
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),EN
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),EN
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),EN
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),EN
MDG_0000000010,Median availability of selected generic medicines (%) - Public,EN
MDG_0000000011,Median consumer price ratio of selected generic medicines - Public,EN
MDG_0000000015,Prevalence of condom use by adults during higher-risk sex (15-49) (%),EN
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),EN
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),EN
MDG_0000000021,Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),EN
MDG_0000000025,Births attended by skilled health personnel (%),EN
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),EN
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),EN
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),EN
MDG_0000000031,Smear-positive tuberculosis treatment-success rate (%),EN
MDG_0000000032,Maternal mortality ratio (per 100 000 live births) - Country reported estimates,EN
MDG_0000000033,Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%),EN
MDG_0000000034,"Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines",EN
MENING_1,Number of suspected meningitis deaths reported,EN
MENING_2,Number of suspected meningitis cases reported,EN
MENING_3,Number of meningitis epidemic districts,EN
MH_1,Mental health policy,EN
MH_10,"Mental health outpatient facilities (per 100,000)",EN
MH_11,"Mental health day treatment facilities (per 100,000)",EN
MH_12,Age-standardized suicide rates (per 100 000 population),EN
MH_13,"Beds for mental health in general hospitals (per 100,000)",EN
MH_14,"Community residential facilities (per 100,000)",EN
MH_15,"Beds in community residential facilities (per 100,000)",EN
MH_16,"Beds in mental hospitals (per 100,000)",EN
MH_17,"Mental hospitals (per 100,000)",EN
MH_18,"Mental health units in general hospitals (per 100,000)",EN
MH_19,"Mental hospital admissions (per 100,000)",EN
MH_2,Mental health plan,EN
MH_20,"Outpatient visits (per 100,000)",EN
MH_24,"Mental health units in general hospitals admissions (per 100,000)",EN
MH_25,Stand-alone policy or plan for mental health,EN
MH_3,Stand-alone mental health legislation,EN
MH_4,Government expenditures on mental health as a percentage of total government expenditures on health (%),EN
MH_5,Government expenditures on mental hospitals as a percentage of total government expenditures on mental health (%),EN
MH_6,"Psychiatrists working in mental health sector (per 100,000)",EN
MH_7,"Nurses working in mental health sector (per 100,000)",EN
MH_8,"Social workers working in mental health sector (per 100,000)",EN
MH_9,"Psychologists working in mental health sector (per 100,000)",EN
MORT_100,Number of deaths,EN
MORT_200,Deaths per 1 000 live births,EN
MORT_300,Distribution of causes of death among children aged < 5 years (%),EN
MORT_400,Deaths per 100 000 population,EN
MORT_500,Number of deaths,EN
MORT_600,Projection of number of deaths,EN
MORT_700,Projection of deaths per 100 000 population,EN
MORT_MATERNALNUM,Number of maternal deaths,EN
MORTADO,Adolescent mortality rate (per 100 000 population),EN
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",EN
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",EN
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",EN
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",EN
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",EN
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",EN
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),EN
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),EN
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",EN
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",EN
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",EN
NCD_CCS_ACE,General availability of ACE inhibitors in the public health sector,EN
NCD_CCS_AlcPlan,Existence of operational policy/strategy/action plan to reduce the harmful use of alcohol,EN
NCD_CCS_Aspirin,General availability of aspirin (100 mg) in the public health sector,EN
NCD_CCS_betablockers,General availability of beta blockers in the public health sector,EN
NCD_CCS_BowelCancer,General availability of colon cancer screening at the primary health care level,EN
NCD_CCS_BreastCancer,General availability of breast cancer screening (by palpation or mammogram) at the primary health care level,EN
NCD_CCS_breastcancerscreening,Existence of national screening program for breast cancer,EN
NCD_CCS_Bronchodilators,General availability of bronchodilators in the public health sector,EN
NCD_CCS_CancerPlan,Existence of operational policy/strategy/action plan for cancer,EN
NCD_CCS_CancerRegNational,Existence of population-based cancer registry,EN
NCD_CCS_CCBlkrs,General availability of CC blockers in the public health sector,EN
NCD_CCS_CervCy,General availability of cervical cytology at the primary health care level,EN
NCD_CCS_cervicalcancermethod,Most widely used screening method in national cervical cancer screening program,EN
NCD_CCS_cervicalcancerpgmcvg,Coverage of national cervical cancer screening program (%),EN
NCD_CCS_cervicalcancerpgmtype,Type of national cervical cancer screening program,EN
NCD_CCS_cervicalcancerscreening,Existence of national screening program for cervical cancer,EN
NCD_CCS_chemo,General availability of chemotherapy in the public health system,EN
NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level,EN
NCD_CCS_coronary,General availability of coronary bypass or stenting in the public health system,EN
NCD_CCS_CRDPlan,Existence of operational policy/strategy/action plan for chronic respiratory diseases,EN
NCD_CCS_CVDPlan,Existence of operational policy/strategy/action plan for cardiovascular diseases,EN
NCD_CCS_DiabetesReg,Existence of a diabetes registry,EN
NCD_CCS_DiabetesTest,"General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level",EN
NCD_CCS_DiabPlan,Existence of operational policy/strategy/action plan for diabetes,EN
NCD_CCS_diabtest,"General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level",EN
NCD_CCS_dialysis,General availability of dialysis in the public health system,EN
NCD_CCS_dietpaaware,Implementation of diet and/or physical activity public awareness program,EN
NCD_CCS_DietPlan,Existence of operational policy/strategy/action plan to reduce unhealthy diet related to NCDs,EN
NCD_CCS_HbA1c,General availability of diabetes testing (by HbA1c) at the primary health care level,EN
NCD_CCS_hpv,Existence of national HPV vaccination programme,EN
NCD_CCS_Insulin,General availability of insulin in the public health sector,EN
NCD_CCS_integNCDplan,"Existence of an operational, multisectoral national NCD policy, strategy or action plan that integrates several NCDs and their risk factors",EN
NCD_CCS_Metformin,General availability of metformin in the public health sector,EN
NCD_CCS_Mkting,Existence of any policies on marketing of foods to children,EN
NCD_CCS_MultisecComm,"Existence of a national multisectoral commission, agency or mechanism for NCDs",EN
NCD_CCS_NCDGuide,Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,EN
NCD_CCS_NCDIndicators,Existence of a set of national NCD indicators and has set time-bound national targets for these indicators,EN
NCD_CCS_NCDUnit_Operational,"Existence of an Operational Unit, Branch, or Dept. in Ministry of Health with responsibility for NCDs",EN
NCD_CCS_Nicotine,General availability of nicotine replacement therapy in the public health sector,EN
NCD_CCS_oralhealthplan,Existence of operational policy/strategy/action plan for oral health,EN
NCD_CCS_OralMorph,General availability of oral morphine in the public health sector,EN
NCD_CCS_paaware,Implementation of physical activity public awareness program,EN
NCD_CCS_palliative_home,General availability of palliative care in community or home-based care in the public health system,EN
NCD_CCS_palliative_prim,General availability of palliative care in primary health care in the public health system,EN
NCD_CCS_PAPlan,Existence of operational policy/strategy/action plan to reduce physical inactivity,EN
NCD_CCS_PeakFlow,General availability of peak flow measurement at the primary health care level,EN
NCD_CCS_photocoag,General availability of retinal photocoagulation in the public health system,EN
NCD_CCS_PM3_Surv,Has a STEPS survey or a comprehensive health examination survey every 5 years,EN
NCD_CCS_renaltrans,General availability of renal replacement by transplantation in the public health system,EN
NCD_CCS_rheum,Provision for secondary prevention of rheumatic fever and rheumatic heart disease in more than 50% of public sector health facilities,EN
NCD_CCS_rheumfollowup,Has systems for follow-up/recall to deliver long-term penicillin prophylaxis to patients with rheumatic fever and rheumatic heart disease,EN
NCD_CCS_rheumreg,Existence of a register of patients who had rheumatic fever and rheumatic heart disease,EN
NCD_CCS_riskstrat,Availability of cardiovascular risk stratification in 50% or more primary health care facilities,EN
NCD_CCS_SaltPol,Existence of any policies to reduce population salt consumption,EN
NCD_CCS_SatFat,Existence of national policies on saturated fatty acids / trans-fats,EN
NCD_CCS_Spirom,General availability of spirometry at the primary health care level,EN
NCD_CCS_SSBTAX,Existence of tax on sugar-sweetened beverages,EN
NCD_CCS_Statins,General availability of statins in the public health sector,EN
NCD_CCS_Steroid,General availability of steroid inhalers in the public health sector,EN
NCD_CCS_stroke,Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities,EN
NCD_CCS_sulphonylurea,General availability of sulphonylurea(s) in the public health sector,EN
NCD_CCS_SurvMonRep9NCD,Existence of an NCD surveillance and monitoring system in place to enable reporting against the nine global NCD targets,EN
NCD_CCS_targets,Existence of a set of time-bound national targets based on WHO guidance,EN
NCD_CCS_Thiazide,General availability of thiazide diuretics in the public health sector,EN
NCD_CCS_thrombolytic,General availability of thrombolytic therapy in the public health system,EN
NCD_CCS_TobPlan,Existence of operational policy/strategy/action plan to decrease tobacco use,EN
NCD_CCS_UrineAlbumin,General availability of urine testing for albumin,EN
NCD_DTH_TOT,Total NCD Deaths (in thousands),EN
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),EN
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),EN
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),EN
NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),EN
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),EN
NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),EN
NCD_PAC_ADO,Insufficiently active (crude estimate),EN
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,EN
NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",EN
NHABASIS,Basis for NHA estimate,EN
nmr,Neonatal mortality rate (deaths per 1000 live births),EN
NTCP_agcy,National agency for tobacco control exists,EN
NTCP_budget_year,Budget year,EN
NTCP_curr,Reported currency,EN
NTCP_FTE,Number of full-time equivalent staff in national agency,EN
NTCP_govt_exp,Annual budget for tobacco control in currency reported,EN
NTCP_govt_obj,Government objectives on tobacco control exist,EN
NTD_1,Number of new reported cases of Buruli ulcer,EN
NTD_2,Dracunculiasis certification status of countries at the beginning of the year,EN
NTD_3,Annual incidence of dracunculiasis cases,EN
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),EN
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),EN
NTD_6,Status of elimination of trachoma as a public health problem,EN
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",EN
NTD_8,Number of people who received treatment with antibiotics for trachoma,EN
NTD_BEJELSTATUS,Status of bejel endemicity,EN
NTD_LEISHCEND,Status of endemicity of cutaneous leishmaniasis,EN
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,EN
NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,EN
NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis,EN
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,EN
NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,EN
NTD_LEPR11,Number of female leprosy new cases,EN
NTD_LEPR2,New leprosy case detection rate per 1 000 000 population,EN
NTD_LEPR3,Leprosy - Number of cases registered for treatment,EN
NTD_LEPR4,Leprosy registered prevalence rate per 1 000 000 population,EN
NTD_LEPR5,Number of new G2D leprosy cases,EN
NTD_LEPR7,Leprosy - New leprosy cases with G2D rate per 1 000 000 population,EN
NTD_LEPR8,Leprosy - Number of new leprosy cases among children (less than 15 years of age),EN
NTD_LEPR9,Number of new leprosy cases with G2D among children (less than 15 years of age),EN
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,EN
NTD_ONCHSTATUS,Status of endemicity of onchocerciasis,EN
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,EN
NTD_PINTASTATUS,Status of pinta endemicity,EN
NTD_RAB2,Reported number of human rabies deaths,EN
NTD_TRA5,Number of people operated for trachomatous trichiasis,EN
NTD_TSOL1,Status of endemicity of Taenia solium,EN
NTD_TSOL3,Number of pigs in the country,EN
NTD_TSOL4,Practice of backyard pig production,EN
NTD_YAWSEND,Status of yaws endemicity,EN
NTD_YAWSNUM,Number of cases of yaws reported,EN
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (millions), model-based estimates",EN
NUTOVERWEIGHTPREV,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates",EN
NUTRITION_2005,Proportion of children aged 6-23 months who receive a minimum acceptable diet,EN
NUTRITION_564,Children aged <5 years wasted for age (%),EN
NUTRITION_570,Early initiation of breastfeeding (%),EN
NUTRITION_579,Exclusive breastfeeding under 6 months (%),EN
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",EN
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",EN
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",EN
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",EN
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",EN
NUTSEVWASTINGNUM,"Severe wasted numbers among children under 5 years of age (millions), model-based estimates",EN
NUTSEVWASTINGPREV,"Severe wasted prevalence among children under 5 years of age (%), model-based estimates",EN
NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates",EN
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",EN
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",EN
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",EN
NUTWASTINGNUM,"Wasted numbers among children under 5 years of age (millions), model-based estimates",EN
NUTWASTINGPREV,"Wasted prevalence among children under 5 years of age (%), model-based estimates",EN
O_Avail_community,Treatment for tobacco dependence available in the community,EN
O_Avail_hlth_clin,Treatment for tobacco dependence available in health clinics or other primary care facilities,EN
O_Avail_hosp,Treatment for tobacco dependence available in hospitals,EN
O_Avail_off_hlth_prof,Treatment for tobacco dependence available in offices of health professionals,EN
O_Avail_other,Treatment for tobacco dependence available in other settings,EN
O_Bup_ins,Bupropion - cost covered,EN
O_Bup_sold,Bupropion - legally sold,EN
O_Bup_where,Bupropion - place available,EN
O_Group,Offering help to quit tobacco use,EN
O_Ins_community,Treatment for tobacco dependence in the community cost covered,EN
O_Ins_hlth_clin,Treatment for tobacco dependence in health clinics or other primary care facilities cost covered,EN
O_Ins_hosp,Treatment for tobacco dependence in hospitals cost covered,EN
O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered,EN
O_Ins_other,Treatment for tobacco dependence in other settings cost covered,EN
O_NRT_EML,Nicotine replacement therapy on the Essential Medicines List,EN
O_NRT_ins,Nicotine replacement therapy - cost covered,EN
O_NRT_sold,Nicotine replacement therapy - legally sold,EN
O_NRT_where,Nicotine replacement therapy - place available,EN
O_Quitline,Access to a toll-free quit line,EN
O_Varen_ins,Varenicline - cost covered,EN
O_Varen_sold,Varenicline - legally sold,EN
O_Varen_where,Varenicline - place available,EN
OCC_1,Occupational risk factors attributable deaths,EN
OCC_10,Occupational carcinogens attributable DALYs ('000),EN
OCC_11,Occupational carcinogens attributable deaths per 100'000 capita,EN
OCC_12,Occupational carcinogens attributable DALYs per 100'000 capita,EN
OCC_13,Occupational noise attributable DALYs ('000),EN
OCC_14,Occupational noise attributable DALYs per 100'000 capita,EN
OCC_15,Occupational ergonomic stressors attributable deaths,EN
OCC_16,Occupational ergonomic stressors attributable DALYs ('000),EN
OCC_17,Occupational ergonomic stressors attributable deaths per 100'000 capita,EN
OCC_18,Occupational ergonomic stressors attributable DALYs per 100'000 capita,EN
OCC_19,Occupational injuries attributable deaths,EN
OCC_2,Occupational risk factors attributable DALYs ('000),EN
OCC_20,Occupational injuries attributable DALYs ('000),EN
OCC_21,Occupational injuries attributable deaths per 100'000 capita,EN
OCC_22,Occupational injuries attributable DALYs per 100'000 capita,EN
OCC_3,Occupational risk factors attributable deaths per 100'000 capita,EN
OCC_4,Occupational risk factors attributable DALYs per 100'000 capita,EN
OCC_5,Occupational airborne particulates attributable deaths,EN
OCC_6,Occupational airborne particulates attributable DALYs ('000),EN
OCC_7,Occupational airborne particulates attributable deaths per 100'000 capita,EN
OCC_8,Occupational airborne particulates attributable DALYs per 100'000 capita,EN
OCC_9,Occupational carcinogens attributable deaths,EN
ODA_1,"Donor commitments (Million, constant 2009 US$)",EN
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",EN
ODA_3,"Donor disbursements (Million, constant 2009 US$)",EN
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",EN
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),EN
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),EN
overwgt5,Overweight prevalence in children aged <five years (%),EN
P_count_places_sf,National smoking ban: NUMBER OF PLACES SMOKE-FREE,EN
P_Group,Protecting people from tobacco smoke,EN
P1_compliance,Compliance of ban on smoking in HEALTH-CARE FACILITIES,EN
P1_healthcare,National smoking ban in HEALTH-CARE FACILITIES,EN
P10_subnat_auth_exists,Subnational smoking bans - authority exists,EN
P11_fines_any,National smoking ban: FINES FOR VIOLATIONS,EN
P12_fines_establishment,National smoking ban: FINES ON THE ESTABLISHMENT,EN
P13_fines_smoker,National smoking ban: FINES ON THE PATRON,EN
P14_funds_for_enforce,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT,EN
P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS,EN
P16_subnat_complete_bans_exist,Comprehensive bans in place subnationally,EN
P2_compliance,Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,EN
P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,EN
P3_compliance,Compliance of ban on smoking in UNIVERSITIES,EN
P3_universities,National smoking ban in UNIVERSITIES,EN
P4_compliance,Compliance of ban on smoking in GOVERNMENT FACILITIES,EN
P4_govt,National smoking ban in GOVERNMENT FACILITIES,EN
P5_compliance,Compliance of ban on smoking in INDOOR OFFICES,EN
P5_indoor_off,National smoking ban in INDOOR OFFICES,EN
P6_compliance,Compliance of ban on smoking in RESTAURANTS,EN
P6_restaurants,National smoking ban in RESTAURANTS,EN
P7_compliance,Compliance of ban on smoking in PUBS AND BARS,EN
P7_pubs,National smoking ban in PUBS AND BARS,EN
P8_compliance,Compliance of ban on smoking in PUBLIC TRANSPORT,EN
P8_pub_transp,National smoking ban in PUBLIC TRANSPORT,EN
P9_all_other,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES,EN
PC_sfe_compliance,Compliance with regulations on smoke-free environments (national legislation),EN
PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),EN
PercposANC,Antenatal care attendees who were positive for syphilis (%),EN
PercposMSM,Men who have sex with men (MSM) with active syphilis (%),EN
PercposSW,Sex workers with active syphilis (%),EN
PerctestedANC,Women accessing antenatal care (ANC) services who were tested for syphilis (%),EN
PerctreatedANC,Antenatal care attendees positive for syphilis who received treatment (%),EN
pncall,Postnatal care visit within two days of birth (in the x years preceding the survey) (%),EN
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),EN
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),EN
pnchome,Postnatal care visit within two days of birth - born outside a health facility (in the x years preceding the survey) (%),EN
pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%),EN
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),EN
poliov,Polio immunization coverage among one-year-olds (%),EN
R_Ad_val_average,Average - taxes as a % of cigarette price - ad valorem excise,EN
R_Ad_val_estimate,Most sold brand of cigarettes - taxes as a % of price - ad valorem excise,EN
R_admin_duty_free_allowance,"Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks)",EN
R_admin_duty_free_limited,Tax administration: Bans or limits on duty free imports by travellers,EN
R_admin_tax_stamps,Tax administration: Tax stamps applied on tobacco products,EN
R_afford_gdp,Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand,EN
R_afford_price_dispersion,Affordability: Price dispersion: share of cheapest brand price in premium brand price (the higher the % the smaller the gap),EN
R_afford_tax_auto_adjust,Affordability: Specific tax component automatically adjusted for inflation (or other),EN
R_Curr_lowest_cost,Cheapest brand of cigarettes - currency reported,EN
R_Curr_mp,Most sold brand of cigarettes - currency reported,EN
R_Curr_premium_cost,Premium brand of cigarettes - currency reported,EN
R_excise_incr,Tobacco excises increased over the survey period,EN
R_excise_min_specific,Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime,EN
R_excise_proportion,Tax structure: Excise tax proportion of price,EN
R_excise_retail_price_base,Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT),EN
R_excise_specific_reliance,Tax structure: Greater reliance on specific tax in mixed excise regime,EN
R_excise_type,Tax structure: Type of excise tax applied,EN
R_excise_uniform_varied,Tax structure: Uniform excise tax,EN
R_Group,Raising taxes on tobacco,EN
R_imp_duty_average,Average - taxes as a % of cigarette price - import duties,EN
R_imp_duty_estimate,Most sold brand of cigarettes - taxes as a % of price - import duties,EN
R_Other_average,Average - taxes as a % of cigarette price - other taxes,EN
R_Other_estimate,Most sold brand of cigarettes - taxes as a % of price - other taxes,EN
